Goroka Airport,GKA,AYGA
Mecheria Airport,MZW,DAAY
Relizane Airport,\N,DAAZ
Rabah Bitat Airport,AAE,DABB
Mohamed Boudiaf International Airport,CZL,DABC
Cheikh Larbi Tébessi Airport,TEE,DABS
Hassi R'Mel Airport,HRM,DAFH
Bou Chekif Airport,TID,DAOB
Bou Sfer Airport,\N,DAOE
Tindouf Airport,TIN,DAOF
Ech Cheliff Airport,CFK,DAOI
Tafaraoui Airport,TAF,DAOL
Zenata – Messali El Hadj Airport,TLM,DAON
Es Senia Airport,ORN,DAOO
Sidi Bel Abbes Airport,BFW,DAOS
Ghriss Airport,MUW,DAOV
Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,DAUA
Biskra Airport,BSK,DAUB
El Golea Airport,ELG,DAUE
Noumérat - Moufdi Zakaria Airport,GHA,DAUG
Oued Irara Airport,HME,DAUH
In Salah Airport,INZ,DAUI
Touggourt Sidi Madhi Airport,TGR,DAUK
Laghouat Airport,LOO,DAUL
Timimoun Airport,TMX,DAUT
Ain el Beida Airport,OGX,DAUU
In Aménas Airport,IAM,DAUZ
Cadjehoun Airport,COO,DBBB
Ouagadougou Airport,OUA,DFFD
Bobo Dioulasso Airport,BOY,DFOO
Kotoka International Airport,ACC,DGAA
Tamale Airport,TML,DGLE
Wa Airport,\N,DGLW
Sunyani Airport,NYI,DGSN
Takoradi Airport,TKD,DGTK
Port Bouet Airport,ABJ,DIAP
Bouaké Airport,BYK,DIBK
Daloa Airport,DJO,DIDL
Korhogo Airport,HGO,DIKO
Man Airport,MJC,DIMN
San Pedro Airport,SPY,DISP
Yamoussoukro Airport,ASK,DIYO
Nnamdi Azikiwe International Airport,ABV,DNAA
Akure Airport,AKR,DNAK
Benin Airport,BNI,DNBE
Margaret Ekpo International Airport,CBQ,DNCA
Akanu Ibiam International Airport,ENU,DNEN
Gusau Airport,\N,DNGU
Ibadan Airport,IBA,DNIB
Ilorin International Airport,ILR,DNIL
Yakubu Gowon Airport,JOS,DNJO
Kaduna Airport,KAD,DNKA
Mallam Aminu International Airport,KAN,DNKN
Maiduguri International Airport,MIU,DNMA
Makurdi Airport,MDI,DNMK
Murtala Muhammed International Airport,LOS,DNMM
Minna Airport,MXJ,DNMN
Port Harcourt International Airport,PHC,DNPO
Sadiq Abubakar III International Airport,SKO,DNSO
Yola Airport,YOL,DNYO
Zaria Airport,ZAR,DNZA
Maradi Airport,MFQ,DRRM
Diori Hamani International Airport,NIM,DRRN
Tahoua Airport,THZ,DRRT
Mano Dayak International Airport,AJY,DRZA
Dirkou Airport,\N,DRZD
Diffa Airport,\N,DRZF
Zinder Airport,ZND,DRZR
Monastir Habib Bourguiba International Airport,MIR,DTMB
Tunis Carthage International Airport,TUN,DTTA
Sidi Ahmed Air Base,\N,DTTB
Remada Air Base,\N,DTTD
Gafsa Ksar International Airport,GAF,DTTF
Gabès Matmata International Airport,GAE,DTTG
Borj El Amri Airport,\N,DTTI
Djerba Zarzis International Airport,DJE,DTTJ
El Borma Airport,EBM,DTTR
Sfax Thyna International Airport,SFA,DTTX
Tozeur Nefta International Airport,TOE,DTTZ
Niamtougou International Airport,LRL,DXNG
Lomé-Tokoin Airport,LFW,DXXX
Antwerp International Airport (Deurne),ANR,EBAW
Beauvechain Air Base,\N,EBBE
Kleine Brogel Air Base,\N,EBBL
Brussels Airport,BRU,EBBR
